operation, device, packetlength, params, execution time (musec)
decrypt-3des-1024,Intel-Xeon-w-1350P,128,,151.6
,,256,,153.2
,,512,,156.39999999999998
,,1024,,162.8
,Intel-i7-11850HE,128,,129.02127659574467
,,256,,130.38297872340422
,,512,,133.1063829787234
,,1024,,138.5531914893617
,,128,,129.02127659574467
,,256,,130.38297872340422
,,512,,133.1063829787234
,,1024,,138.5531914893617
,Intel-i7-7600U,128,,155.48717948717947
,,256,,157.1282051282051
,,512,,160.41025641025638
,,1024,,166.97435897435898
,,128,,155.48717948717947
,,256,,157.1282051282051
,,512,,160.41025641025638
,,1024,,166.97435897435898
,Intel-Xeon-w-1390P,128,,116.6153846153846
,,256,,117.84615384615383
,,512,,120.30769230769229
,,1024,,125.23076923076921
,Intel-i7-1360P,128,,121.28
,,256,,122.55999999999999
,,512,,125.11999999999999
,,1024,,130.24
,,128,,121.28
,,256,,122.55999999999999
,,512,,125.11999999999999
,,1024,,130.24
,Intel-i7-1185G7E,128,,137.81818181818178
,,256,,139.27272727272725
,,512,,142.18181818181816
,,1024,,148.0
,,128,,137.81818181818178
,,256,,139.27272727272725
,,512,,142.18181818181816
,,1024,,148.0
,Intel-i7-7700,128,,144.38095238095235
,,256,,145.9047619047619
,,512,,148.95238095238093
,,1024,,155.04761904761904
,,128,,144.38095238095235
,,256,,145.9047619047619
,,512,,148.95238095238093
,,1024,,155.04761904761904
,Intel-i7-6700,128,,151.6
,,256,,153.2
,,512,,156.39999999999998
,,1024,,162.8
,,128,,151.6
,,256,,153.2
,,512,,156.39999999999998
,,1024,,162.8
,ARM-_Denver_2,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,ARM-_ARM_Cortex,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,Intel-Xeon-w-1370P,128,,168.44444444444446
,,256,,170.2222222222222
,,512,,173.77777777777774
,,1024,,180.88888888888889
,Intel-i7-14650HX,128,,116.6153846153846
,,256,,117.84615384615383
,,512,,120.30769230769229
,,1024,,125.23076923076921
,,128,,116.6153846153846
,,256,,117.84615384615383
,,512,,120.30769230769229
,,1024,,125.23076923076921
,Intel-i3-4130,128,,178.35294117647058
,,256,,180.23529411764704
,,512,,183.99999999999997
,,1024,,191.52941176470588
,Intel-i7-14700HX,128,,110.25454545454545
,,256,,111.41818181818181
,,512,,113.74545454545454
,,1024,,118.4
,,128,,110.25454545454545
,,256,,111.41818181818181
,,512,,113.74545454545454
,,1024,,118.4
decrypt-3des-256,Intel-Xeon-w-1350P,128,,151.6
,,256,,153.2
,,512,,156.39999999999998
,,1024,,162.8
,Intel-i7-11850HE,128,,129.02127659574467
,,256,,130.38297872340422
,,512,,133.1063829787234
,,1024,,138.5531914893617
,,128,,129.02127659574467
,,256,,130.38297872340422
,,512,,133.1063829787234
,,1024,,138.5531914893617
,Intel-i7-7600U,128,,155.48717948717947
,,256,,157.1282051282051
,,512,,160.41025641025638
,,1024,,166.97435897435898
,,128,,155.48717948717947
,,256,,157.1282051282051
,,512,,160.41025641025638
,,1024,,166.97435897435898
,Intel-Xeon-w-1390P,128,,116.6153846153846
,,256,,117.84615384615383
,,512,,120.30769230769229
,,1024,,125.23076923076921
,Intel-i7-1360P,128,,121.28
,,256,,122.55999999999999
,,512,,125.11999999999999
,,1024,,130.24
,,128,,121.28
,,256,,122.55999999999999
,,512,,125.11999999999999
,,1024,,130.24
,Intel-i7-1185G7E,128,,137.81818181818178
,,256,,139.27272727272725
,,512,,142.18181818181816
,,1024,,148.0
,,128,,137.81818181818178
,,256,,139.27272727272725
,,512,,142.18181818181816
,,1024,,148.0
