operation, device, packetlength, params, execution time (musec)
completeOp,Intel-Xeon-w-1350P,128,,0.044500000000000005
,,256,,0.0765
,,512,,0.1405
,,1024,,0.2685
,Intel-i7-11850HE,128,,0.03787234042553191
,,256,,0.06510638297872341
,,512,,0.11957446808510638
,,1024,,0.22851063829787233
,,128,,0.03787234042553191
,,256,,0.06510638297872341
,,512,,0.11957446808510638
,,1024,,0.22851063829787233
,Intel-i7-7600U,128,,0.045641025641025644
,,256,,0.07846153846153847
,,512,,0.14410256410256414
,,1024,,0.2753846153846154
,,128,,0.045641025641025644
,,256,,0.07846153846153847
,,512,,0.14410256410256414
,,1024,,0.2753846153846154
,Intel-Xeon-w-1390P,128,,0.03423076923076923
,,256,,0.05884615384615385
,,512,,0.1080769230769231
,,1024,,0.20653846153846153
,Intel-i7-1360P,128,,0.0356
,,256,,0.061200000000000004
,,512,,0.11240000000000001
,,1024,,0.2148
,,128,,0.0356
,,256,,0.061200000000000004
,,512,,0.11240000000000001
,,1024,,0.2148
,Intel-i7-1185G7E,128,,0.04045454545454545
,,256,,0.06954545454545454
,,512,,0.12772727272727272
,,1024,,0.24409090909090905
,,128,,0.04045454545454545
,,256,,0.06954545454545454
,,512,,0.12772727272727272
,,1024,,0.24409090909090905
,Intel-i7-7700,128,,0.04238095238095238
,,256,,0.07285714285714286
,,512,,0.13380952380952382
,,1024,,0.2557142857142857
,,128,,0.04238095238095238
,,256,,0.07285714285714286
,,512,,0.13380952380952382
,,1024,,0.2557142857142857
,Intel-i7-6700,128,,0.044500000000000005
,,256,,0.0765
,,512,,0.1405
,,1024,,0.2685
,,128,,0.044500000000000005
,,256,,0.0765
,,512,,0.1405
,,1024,,0.2685
,ARM-_Denver_2,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,ARM-_ARM_Cortex,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,Intel-Xeon-w-1370P,128,,0.049444444444444444
,,256,,0.085
,,512,,0.15611111111111112
,,1024,,0.29833333333333334
,Intel-i7-14650HX,128,,0.03423076923076923
,,256,,0.05884615384615385
,,512,,0.1080769230769231
,,1024,,0.20653846153846153
,,128,,0.03423076923076923
,,256,,0.05884615384615385
,,512,,0.1080769230769231
,,1024,,0.20653846153846153
,Intel-i3-4130,128,,0.05235294117647059
,,256,,0.09000000000000001
,,512,,0.16529411764705884
,,1024,,0.3158823529411765
,Intel-i7-14700HX,128,,0.032363636363636365
,,256,,0.055636363636363644
,,512,,0.1021818181818182
,,1024,,0.19527272727272726
,,128,,0.032363636363636365
,,256,,0.055636363636363644
,,512,,0.1021818181818182
,,1024,,0.19527272727272726
finishOp,Intel-Xeon-w-1350P,128,,0.25
,,256,,0.25
,,512,,0.25
,,1024,,0.25
,Intel-i7-11850HE,128,,0.21276595744680848
,,256,,0.21276595744680848
,,512,,0.21276595744680848
,,1024,,0.21276595744680848
,,128,,0.21276595744680848
,,256,,0.21276595744680848
,,512,,0.21276595744680848
,,1024,,0.21276595744680848
,Intel-i7-7600U,128,,0.25641025641025644
,,256,,0.25641025641025644
,,512,,0.25641025641025644
,,1024,,0.25641025641025644
,,128,,0.25641025641025644
,,256,,0.25641025641025644
,,512,,0.25641025641025644
,,1024,,0.25641025641025644
,Intel-Xeon-w-1390P,128,,0.1923076923076923
,,256,,0.1923076923076923
,,512,,0.1923076923076923
,,1024,,0.1923076923076923
,Intel-i7-1360P,128,,0.19999999999999998
,,256,,0.19999999999999998
,,512,,0.19999999999999998
,,1024,,0.19999999999999998
,,128,,0.19999999999999998
,,256,,0.19999999999999998
,,512,,0.19999999999999998
,,1024,,0.19999999999999998
,Intel-i7-1185G7E,128,,0.22727272727272724
,,256,,0.22727272727272724
,,512,,0.22727272727272724
,,1024,,0.22727272727272724
,,128,,0.22727272727272724
,,256,,0.22727272727272724
,,512,,0.22727272727272724
,,1024,,0.22727272727272724
,Intel-i7-7700,128,,0.23809523809523808
,,256,,0.23809523809523808
,,512,,0.23809523809523808
,,1024,,0.23809523809523808
,,128,,0.23809523809523808
,,256,,0.23809523809523808
,,512,,0.23809523809523808
,,1024,,0.23809523809523808
,Intel-i7-6700,128,,0.25
,,256,,0.25
,,512,,0.25
,,1024,,0.25
,,128,,0.25
,,256,,0.25
,,512,,0.25
,,1024,,0.25
,ARM-_Denver_2,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,ARM-_ARM_Cortex,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,Intel-Xeon-w-1370P,128,,0.27777777777777773
,,256,,0.27777777777777773
,,512,,0.27777777777777773
,,1024,,0.27777777777777773
,Intel-i7-14650HX,128,,0.1923076923076923
,,256,,0.1923076923076923
,,512,,0.1923076923076923
,,1024,,0.1923076923076923
,,128,,0.1923076923076923
,,256,,0.1923076923076923
,,512,,0.1923076923076923
,,1024,,0.1923076923076923
,Intel-i3-4130,128,,0.2941176470588235
,,256,,0.2941176470588235
,,512,,0.2941176470588235
,,1024,,0.2941176470588235
,Intel-i7-14700HX,128,,0.1818181818181818
,,256,,0.1818181818181818
,,512,,0.1818181818181818
,,1024,,0.1818181818181818
,,128,,0.1818181818181818
,,256,,0.1818181818181818
,,512,,0.1818181818181818
,,1024,,0.1818181818181818
