Experiment,MeasureName,EUD,$crypto,$lambda,$pcktlen,Samples,Min(msec),Q1,Q2,Q3,Max(msec)
exp-1,end2end,EUD-1,AES-128-CBC,10000,128,1975,0.358435,0.358802,0.359158,0.35949,0.373888
exp-1,end2end,EUD-0,AES-128-CBC,10000,128,1007,0.358434,0.35874,0.35908,0.359436,0.371689
exp-1,end2end,EUD-2,AES-128-CBC,10000,128,7018,0.358434,0.358817,0.359197,0.359568,0.38275
exp-2,end2end,EUD-2,AES-128-CBC,10000,256,2982,0.377048,0.37747,0.377878,0.379134,0.424595
exp-2,end2end,EUD-0,AES-128-CBC,10000,256,3002,0.37705,0.377484,0.377886,0.378927,0.421297
exp-2,end2end,EUD-1,AES-128-CBC,10000,256,4016,0.377048,0.37748,0.377891,0.379486,0.433754
exp-3,end2end,EUD-0,AES-128-CBC,10000,512,1007,0.411875,0.41241,0.412937,0.420384,0.485423
exp-3,end2end,EUD-2,AES-128-CBC,10000,512,7018,0.411876,0.412731,0.416393,0.43506,0.701672
exp-3,end2end,EUD-1,AES-128-CBC,10000,512,1975,0.411875,0.412424,0.41296,0.421242,0.514624
exp-4,end2end,EUD-2,AES-128-CBC,10000,1024,7018,0.483932,0.502472,0.568511,0.686689,1.52351
exp-4,end2end,EUD-1,AES-128-CBC,10000,1024,1975,0.483932,0.485643,0.502053,0.530008,0.771245
exp-4,end2end,EUD-0,AES-128-CBC,10000,1024,1007,0.483936,0.484995,0.499881,0.522024,0.685914
exp-5,end2end,EUD-0,AES-256-CBC,10000,128,1007,0.359634,0.359933,0.360267,0.360618,0.372889
exp-5,end2end,EUD-2,AES-256-CBC,10000,128,7018,0.359634,0.360016,0.360385,0.360756,0.38395
exp-5,end2end,EUD-1,AES-256-CBC,10000,128,1975,0.359635,0.359992,0.360336,0.360663,0.375088
exp-6,end2end,EUD-0,AES-256-CBC,10000,256,1007,0.379448,0.379837,0.380224,0.380611,0.412929
exp-6,end2end,EUD-2,AES-256-CBC,10000,256,7018,0.379448,0.379955,0.380447,0.382933,0.467208
exp-6,end2end,EUD-1,AES-256-CBC,10000,256,1975,0.37945,0.379866,0.380258,0.380891,0.414283
exp-7,end2end,EUD-2,AES-256-CBC,10000,512,2982,0.420275,0.420931,0.423077,0.433283,0.570231
exp-7,end2end,EUD-0,AES-256-CBC,10000,512,3002,0.420276,0.420899,0.421597,0.432928,0.557796
exp-7,end2end,EUD-1,AES-256-CBC,10000,512,4016,0.420277,0.420956,0.423853,0.434576,0.63581
exp-8,end2end,EUD-0,AES-256-CBC,10000,1024,1007,0.500736,0.501864,0.51643,0.540226,0.751176
exp-8,end2end,EUD-2,AES-256-CBC,10000,1024,7018,0.500733,0.53505,0.655447,0.832519,2.18339
exp-8,end2end,EUD-1,AES-256-CBC,10000,1024,1975,0.500732,0.503982,0.523114,0.552344,0.855792
