Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
CPU Entries,,,,,
### model,operation,pcktlen,exec time,,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-CBC,128,0.8734855,,
AMD EPYC 7763 64-Core Processor,decrypt-AES-256-CBC,128,0.6257925,,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-CBC,1500,5.4710410000000005,,
AMD EPYC 7763 64-Core Processor,decrypt-AES-128-CBC,1500,4.5559009999999995,,
AMD EPYC 7763 64-Core Processor,encrypt-AES-128-CBC,1000,3.792754,,
AMD EPYC 7763 64-Core Processor,decrypt-AES-128-CBC,1000,3.097098,,
AMD EPYC 7763 64-Core Processor,packet-generation,1000,32.294883999999996,,
AMD EPYC 7763 64-Core Processor,packet-return,1000,10,,
,,,,,
Intel(R) Core(TM) i7-8650U CPU,encrypt-AES-256-CBC,128,2.035221215,,
Intel(R) Core(TM) i7-8650U CPU,decrypt-AES-256-CBC,128,1.458096525,,
Intel(R) Core(TM) i7-8650U CPU,encrypt-AES-128-CBC,1500,12.74752553,,
Intel(R) Core(TM) i7-8650U CPU,decrypt-AES-128-CBC,1500,10.61524933,,
Intel(R) Core(TM) i7-8650U CPU,encrypt-AES-128-CBC,1000,8.83711682,,
Intel(R) Core(TM) i7-8650U CPU,decrypt-AES-128-CBC,1000,7.21623834,,
Intel(R) Core(TM) i7-8650U CPU,packet-process,1000,75.24707971999999,,
,,,,,
,,,,,
Accelerator Entries,,,,,
### model,operation,pcktlen,exec time,,
AEWIN 0T008,encrypt-AES-256-CBC,128,0.1746971,,
AEWIN 0T008,decrypt-AES-256-CBC,128,0.1251585,,
AEWIN 0T008,encrypt-AES-128-CBC,1500,1.0942082000000002,,
AEWIN 0T008,decrypt-AES-128-CBC,1500,0.9111801999999999,,
AEWIN 0T008,encrypt-AES-128-CBC,1000,0.7585508,,
AEWIN 0T008,decrypt-AES-128-CBC,1000,0.6194196,,
,,,,,
Router Entries,,,,,
### model,operation,pcktlen,exec time,bandwidth,
Cisco 4300 ,route,128,40,1000,
Cisco 4300 ,route,1500,55,1000,
,,,,,
Switch Entries,,,,,
### model,operation,pcktlen,exec time,bandwidth,
Aruba 3810,switch,128,24.56,1000,
Aruba 3810,switch,512,39.1,1000,
Aruba 3810,switch,1500,55.85,1000,
,,,,,
Netgear GJS524E,switch,128,27.96,1000,
Netgear GJS524E,switch,512,29.12,1000,
Netgear GJS524E,switch,1500,30.211,1000,
,,,,,
Netgear GS324T,switch,128,29.81,1000,
Netgear GS324T,switch,512,39.21,1000,
Netgear GS324T,switch,1500,50.22,1000,
,,,,,
### color key,,,,,
### Category label,,,,,
### singleton descriptor ,,,,,
### list descriptor,,,,,
### dict descriptor,,,,,
